,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
26,-0.34706116,9.423706,1.5605621,2017-06-03 16:31:28.218000,1496518288218,0.0010681152,-0.003540039,-0.00016784668,-44.0522669702,-12.675858,15.753365,-6.3627243,18.7732283142,77.1503563952
27,-0.2939911,9.484985,1.5780182,2017-06-03 16:31:28.270000,1496518288270,-0.022369385,0.01776123,-0.00016784668,-45.2067345322,-13.100624,15.840721,-6.1893463,19.0035213154,77.8240871709
28,-0.36294556,9.394302,1.5422821,2017-06-03 16:31:28.322000,1496518288322,-0.0053253174,-0.008865356,0.00090026855,-46.3857980591,-13.185692,16.189957,-5.929184,19.2032073922,78.4195462825
29,-0.31326294,9.415909,1.589508,2017-06-03 16:31:28.374000,1496518288374,0.0032043457,0.014572144,-0.005493164,-47.730223807,-13.440514,15.491676,-5.929184,19.3890104131,78.7976654673
30,-0.35801697,9.462006,1.5654297,2017-06-03 16:31:28.426000,1496518288426,-0.003189087,-0.0046081543,-0.0012207031,-49.0530843001,-13.270569,15.40432,-6.1027527,19.5177007757,79.1242064261
31,-0.29777527,9.435135,1.5434875,2017-06-03 16:31:28.478000,1496518288478,0.0053253174,-0.0046081543,0.0019683838,-50.5215556437,-13.100433,15.578842,-6.4496994,19.4802080906,79.4627969543
32,-0.29127502,9.404541,1.5511932,2017-06-03 16:31:28.530000,1496518288530,0.0032043457,0.010314941,-0.0022888184,-51.7658024298,-12.845612,15.579033,-6.189537,19.3711434336,79.6542228627
33,-0.35531616,9.462006,1.5588379,2017-06-03 16:31:28.581000,1496518288581,-0.0010681152,0.0017852783,0.003036499,-53.2352983061,-13.015556,15.840912,-6.536293,19.2845653183,79.8221937588
34,-0.31970215,9.447784,1.5227814,2017-06-03 16:31:28.634000,1496518288634,-0.003189087,-0.021652222,-0.0012207031,-54.5029159022,-13.015747,15.491676,-6.102562,19.190412664,79.8891125633
35,-0.28633118,9.442856,1.5489807,2017-06-03 16:31:28.686000,1496518288686,-0.0010681152,-0.009933472,-0.0033569336,-55.9645973533,-13.525581,15.840721,-6.1893463,19.0614238149,79.8638036907
36,-0.30548096,9.366241,1.5518036,2017-06-03 16:31:28.739000,1496518288739,-0.004257202,-0.023788452,-0.0012207031,-57.6886911713,-13.695717,15.404129,-5.8423996,19.0023272714,79.6993815007
37,-0.26716614,9.423706,1.5703583,2017-06-03 16:31:28.791000,1496518288791,0.020248413,-0.008865356,0.0019683838,-59.0590076335,-13.27076,15.666008,-5.755806,18.7909843757,79.5937266411
38,-0.38388062,9.481155,1.5123138,2017-06-03 16:31:28.843000,1496518288843,-0.004257202,-0.013122559,-0.008682251,-60.4085888313,-13.101006,15.491486,-6.189537,18.6894609964,79.5782458742
39,-0.30548096,9.407822,1.5386353,2017-06-03 16:31:28.894000,1496518288894,0.0,-0.025909424,-0.0033569336,-61.8771263047,-13.27076,15.840721,-6.189537,18.4623466654,79.4949946094
40,-0.26776123,9.481735,1.5506134,2017-06-03 16:31:28.948000,1496518288948,0.0138549805,-0.02911377,-0.0022888184,-63.4293750394,-13.86528,15.666199,-6.4496994,18.2912746225,79.347928489
41,-0.36953735,9.324631,1.5511932,2017-06-03 16:31:29.000000,1496518289000,0.009597778,-0.016326904,-0.008682251,-64.9445985197,-13.780212,15.578842,-5.7559967,18.2172427169,79.114378843
42,-0.36413574,9.4614105,1.5697784,2017-06-03 16:31:29.051000,1496518289051,-0.0063934326,0.012435913,0.0051574707,-66.338031711,-13.440514,15.753555,-5.9295654,18.0420918704,78.9641576511
