,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
8534,-0.5544739,9.55777,-0.13056946,28:16.8,1.49652E+12,0.007461548,-0.00567627,0.005157471,-139.8633456,-13.098907,12.2291565,-10.763168,3.337124957,90.77760863
8535,-0.49971008,9.53772,-0.09869385,28:16.8,1.49652E+12,-0.001068115,-0.002471924,-0.000167847,-139.8624391,-12.928963,12.491035,-10.849953,3.335725289,90.77767599
8536,-0.57003784,9.53862,-0.16543579,28:16.9,1.49652E+12,0.001068115,0.003921509,-0.003356934,-139.8596306,-13.268852,12.491035,-11.023331,3.335275116,90.78154546
8537,-0.5927887,9.575424,-0.1534729,28:16.9,1.49652E+12,0.006393433,7.17E-04,-0.008682251,-139.9194672,-13.438797,12.752914,-10.676575,3.458865163,90.80273089
8538,-0.56884766,9.543396,-0.23008728,28:17.0,1.49652E+12,0.002136231,-0.011001587,0.001968384,-139.9194672,-13.6938095,12.490845,-10.676575,3.458865163,90.80273089
8539,-0.5544739,9.588501,-0.23008728,28:17.0,1.49652E+12,0.004257202,-0.002471924,-0.005493164,-139.9194962,-13.523865,12.2291565,-10.850143,3.458537265,90.80415536
8540,-0.5353241,9.547363,-0.19178772,28:17.1,1.49652E+12,0.010650635,-0.007797241,0.008361816,-139.9082989,-13.438988,12.316322,-11.023521,3.437791582,90.83186467
8541,-0.5544739,9.56929,-0.19941711,28:17.1,1.49652E+12,0.019180298,0.001785278,-0.002288818,-139.7432991,-13.269043,12.228966,-11.196899,3.3134634,91.06229216
8542,-0.5303955,9.567047,-0.16334534,28:17.2,1.49652E+12,0.003204346,0.003921509,0.010498047,-139.7415806,-13.184166,12.490654,-11.543655,3.312194943,91.06307606
8543,-0.57125854,9.555389,-0.18940735,28:17.2,1.49652E+12,-0.002120972,0.011367798,0.007293701,-139.7415806,-13.183975,12.665367,-11.196709,3.312194943,91.06307606
8544,-0.5544739,9.51947,-0.1816101,28:17.3,1.49652E+12,0.002136231,0.003921509,0.009429932,-139.5635441,-13.438797,12.927437,-11.456871,3.227869925,91.18274058
8545,-0.59039307,9.55777,-0.17501831,28:17.3,1.49652E+12,0.004257202,0.010314941,0.003036499,-139.563133,-13.35392,12.840271,-11.196709,3.22847177,91.18264125
8546,-0.53009033,9.51947,-0.1534729,28:17.4,1.49652E+12,0.003204346,7.17E-04,0.004104614,-139.563133,-13.35392,12.403679,-11.63044,3.22847177,91.18264125
8547,-0.57066345,9.554794,-0.13728333,28:17.4,1.49652E+12,0.004257202,-0.002471924,-0.003356934,-139.5532654,-13.269043,12.665367,-11.283493,3.230134635,91.17553654
8548,-0.57362366,9.53862,-0.1534729,28:17.5,1.49652E+12,0.012786865,0.001785278,-0.006561279,-139.4232842,-13.608742,13.014412,-11.630249,3.24837016,91.15335008
8549,-0.5544739,9.53862,-0.1534729,28:17.5,1.49652E+12,0.002136231,-0.007797241,-0.001220703,-139.4232842,-13.6089325,13.276482,-11.370087,3.24837016,91.15335008
8550,-0.52156067,9.524841,-0.21931458,28:17.6,1.49652E+12,0.01171875,0.001785278,-0.001220703,-139.4232842,-13.5240555,13.014793,-11.370087,3.24837016,91.15335008
8551,-0.5685425,9.51947,-0.22499084,28:17.6,1.49652E+12,0.007461548,-0.001403809,0.003036499,-139.3905734,-13.269234,13.014984,-11.370087,3.248145571,91.19273736
8552,-0.5597229,9.571686,-0.23875427,28:17.7,1.49652E+12,0.007461548,-0.00567627,-0.003356934,-139.3631099,-13.269043,13.102341,-11.109734,3.259787179,91.26811148
